Step,Reward
11192,201.79
11210,83.29
11229,89.53
11248,87.19
11282,148.70
11302,94.63
11321,88.60
11353,152.12
11374,99.07
11394,90.92
11413,89.48
11430,78.41
11461,138.99
11487,122.85
11505,82.96
11532,123.88
11563,132.92
11586,103.51
11604,82.61
11624,92.75
11643,88.56
11661,83.24
11684,108.30
11706,103.19
11726,93.79
11752,124.27
11780,133.28
11802,99.91
11834,148.69
11853,86.04
11875,98.75
11892,78.58
11914,101.51
11932,84.10
11954,106.21
11985,144.44
12009,113.52
12035,121.33
12056,100.00
12075,88.41
12092,78.51
12116,109.67
12137,97.60
12156,88.78
12177,98.60
12194,78.27
12212,83.40
12230,83.31
12252,102.88
12270,83.57
12304,165.07
12322,83.10
12359,174.21
12379,93.07
12407,135.49
12428,98.83
12468,197.91
12495,127.50
12518,112.10
12540,99.80
12564,115.26
12585,99.80
12606,93.07
12631,120.10
12654,109.16
12679,109.97
12707,122.34
12724,78.43
12742,84.50
12762,93.23
12786,115.22
12817,151.96
12836,90.32
12863,131.92
12880,77.95
12903,104.35
12921,83.56
12953,150.12
12974,97.43
12993,88.82
13017,108.18
13035,84.01
13055,92.56
13077,97.68
13103,122.51
13131,134.65
13161,133.03
13178,78.52
13209,150.65
13228,87.63
13256,134.18
13279,108.04
13306,126.67
13328,96.64
13357,139.40
13395,179.66
13413,82.96
13434,100.08
13456,104.58
13484,134.31
13503,88.34
13523,92.00
13543,89.94
13569,111.60
13586,78.65
13603,78.38
13626,110.57
13643,78.60
13673,145.45
13696,108.95
13732,169.03
13753,96.12
13781,123.97
13807,123.20
13824,78.36
13851,122.19
13894,202.48
13914,93.65
13933,88.98
13960,124.40
13980,94.24
14005,120.88
14028,110.18
14047,89.80
14078,134.73
14095,78.37
14113,83.83
14131,83.78
14159,135.69
14183,114.70
14206,107.98
14227,100.38
14246,88.15
14280,145.28
14298,84.06
14327,138.26
14355,122.00
14378,109.49
14404,121.90
14445,188.45
14467,104.84
14494,128.91
14530,166.38
14553,106.32
14580,121.29
14600,93.53
14636,152.63
14653,78.17
14671,83.81
14702,147.53
14723,97.31
14746,112.13
14764,84.24
14782,82.92
14817,143.09
14842,119.64
14859,78.60
14880,99.45
14901,99.11
14919,82.71
14936,78.56
14958,104.45
14976,83.62
14995,89.11
15040,205.30
15072,149.91
15098,118.54
15127,140.91
15175,226.76
15197,103.95
15217,94.07
15249,145.50
15295,217.26
15321,128.08
15342,99.82
15367,120.86
15390,109.88
15410,90.16
15444,160.31
15476,150.89
15495,88.09
15520,119.49
15561,187.74
15578,77.66
15595,76.89
15616,101.21
15639,112.66
15660,99.51
15682,95.72
15700,83.52
15719,87.31
15738,88.82
15769,144.79
15792,107.01
15820,131.21
15852,156.29
15883,147.76
15909,121.13
15927,84.15
15965,174.13
15988,107.07
16007,89.54
16031,111.97
16058,131.66
16083,120.39
16106,109.87
16141,172.43
16159,83.16
16177,83.69
16214,172.66
16232,83.62
16264,153.04
16281,78.29
16299,83.72
16323,113.42
16349,126.12
16378,140.67
16398,94.73
16418,92.60
16440,105.35
16467,125.01
16492,119.85
16519,128.69
16553,160.39
16601,224.85
16620,87.77
16645,121.19
16666,97.63
16685,87.94
16704,90.46
16721,78.69
16744,104.14
16785,188.27
16803,82.64
16836,157.26
16857,93.74
16879,105.53
16896,78.44
16918,105.65
16941,110.67
16959,83.28
16982,110.06
17006,114.95
17037,145.94
17064,118.95
17092,134.52
17111,88.14
17137,116.33
17173,167.19
17194,96.51
17213,90.41
17237,114.66
17254,78.36
17301,227.27
17347,211.36
17388,198.35
17414,122.68
17431,78.34
17465,148.28
17487,100.17
17505,83.17
17527,106.27
17551,114.75
17575,114.23
17593,83.40
17616,107.06
17643,114.28
17669,120.62
17688,88.61
17716,120.51
17746,144.98
17785,176.34
17804,88.07
17824,90.75
17844,93.64
17869,121.73
17892,111.03
17917,118.55
17937,94.87
17967,138.68
17995,130.68
18021,123.95
18040,89.48
18064,112.86
18090,124.04
18109,88.81
18127,82.55
18161,156.16
18180,89.41
18203,103.05
18224,99.69
18242,83.37
18273,147.17
18303,143.75
18338,163.31
18359,99.66
18381,104.87
18400,90.04
18419,88.66
18445,123.26
18470,113.49
18489,88.17
18522,154.52
18551,141.01
18579,136.43
18603,111.71
18629,114.34
18686,267.69
18703,78.05
18735,149.57
18759,112.24
18779,93.09
18825,226.53
18857,153.52
18876,88.69
18895,90.31
18920,121.69
18949,141.81
18967,83.28
18986,87.26
19003,78.48
19027,115.09
19066,181.14
19089,106.46
19108,89.08
19129,99.59
19159,127.85
19187,131.07
19215,132.70
19233,83.54
19262,134.51
19290,135.02
19308,84.86
19325,78.57
19344,85.04
19366,105.43
19385,89.05
19414,137.40
19440,130.70
19456,73.11
19480,115.42
19497,78.40
19515,83.37
19551,169.72
19573,104.82
19592,89.02
19616,114.84
19633,78.29
19658,120.15
19682,109.85
19704,104.16
19726,93.75
19751,118.60
19772,100.13
19808,171.90
19825,78.56
19847,101.76
19873,121.13
19903,138.80
19948,201.75
19977,117.64
20002,119.70
20021,87.57
20053,153.24
20076,107.82
20093,78.74
20115,105.49
20134,88.40
20164,135.15
20205,187.01
20237,153.49
20264,127.57
20288,111.51
20311,110.02
20334,109.74
20357,107.92
20375,84.84
20396,97.19
20416,93.72
20440,111.06
20466,127.47
20488,103.88
20509,99.73
20533,112.86
20550,78.37
20581,148.76
20600,87.52
20624,112.13
20641,78.74
20662,97.23
20679,78.49
20697,82.97
20716,89.67
20747,142.81
20771,113.88
20790,87.52
20807,78.44
20824,78.63
20842,82.98
20870,133.46
20904,166.27
20926,102.66
20962,167.00
20996,153.56
21037,188.00
21056,89.27
21077,98.18
21105,135.30
21136,153.26
21164,121.55
21185,97.48
21225,194.15
21253,136.79
21282,136.95
21301,87.91
21320,87.40
21344,112.84
21381,180.30
21404,110.02
21421,78.40
21441,95.11
21472,139.63
21493,98.96
21523,135.66
21542,86.79
21575,155.23
21593,83.68
21630,172.93
21647,78.57
21676,140.47
21701,119.87
21724,110.90
21743,88.40
21766,107.84
21784,83.04
21811,128.57
21839,115.01
21870,151.33
21887,78.32
21916,133.56
21944,135.43
21962,84.26
21981,88.79
22018,179.59
22040,102.61
22058,83.65
22077,88.77
22096,88.92
22115,91.46
22132,77.49
22171,187.05
22195,115.51
22212,77.64
22231,87.47
22259,129.58
22278,88.83
22296,84.52
22316,94.74
22334,83.38
22354,94.78
22375,99.28
22394,89.46
22416,94.91
22434,83.37
22454,91.37
22490,170.56
22519,135.18
22540,97.93
22571,147.43
22592,101.01
22614,103.79
22633,88.61
22664,136.09
22687,110.56
22713,127.87
22732,87.94
22759,126.18
22788,138.14
22807,89.28
22830,101.30
22847,78.26
22866,88.20
22886,93.23
22919,161.01
22938,89.59
22960,103.58
22979,90.19
23005,116.97
23041,165.97
23067,122.23
23085,83.02
23107,105.65
23125,83.09
23157,151.89
23175,84.16
23202,127.82
23223,99.14
23248,116.81
23269,99.91
23288,89.78
23310,103.30
23327,78.07
23347,94.89
23382,161.66
23406,115.11
23431,120.75
23455,112.62
23474,88.36
23497,108.48
23515,84.03
23546,136.59
23567,99.64
23589,104.59
23612,110.08
23642,138.08
23661,89.20
23681,94.78
23708,117.92
23732,109.60
23753,99.47
23779,112.14
23806,125.47
23835,141.96
23859,111.48
23882,109.61
23902,94.94
23928,125.46
23951,107.50
23971,94.16
24005,158.77
24022,78.50
24055,151.22
24072,78.31
24106,148.78
24135,131.87
24152,78.67
24179,128.89
24201,106.52
24223,98.01
24263,189.47
24286,107.50
24304,83.47
24338,146.67
24360,102.77
24379,89.17
24404,118.41
24424,93.49
24442,83.40
24461,89.93
24479,84.51
24507,129.08
24531,104.71
24551,93.13
24590,189.44
24610,93.10
24627,78.09
24657,146.48
24678,93.30
24696,83.40
24732,163.44
24772,193.13
24793,98.68
24816,108.38
24834,83.31
24861,130.73
24879,83.58
24899,96.03
24917,83.48
24945,132.74
24968,107.02
24988,93.00
25014,123.15
25033,89.93
25055,106.57
25075,95.66
25106,136.33
25133,120.52
25151,83.15
25171,95.01
25193,105.85
25211,81.65
25239,121.49
25264,112.46
25301,174.48
25318,78.32
25351,160.52
25371,93.11
25389,84.03
25407,83.59
25430,105.44
25448,82.50
25484,164.09
25501,78.07
25527,121.25
25556,127.74
25588,147.17
25608,93.81
25633,119.43
25652,88.69
25676,103.38
25701,120.39
25719,83.54
25735,73.69
25756,98.60
25786,129.99
25811,118.59
25828,78.67
25853,118.82
25896,208.14
25919,99.92
25951,154.66
25978,129.32
26012,153.96
26032,90.99
26061,133.41
26088,129.35
26116,134.80
26145,137.37
26186,190.52
26209,107.84
26236,125.31
26268,153.82
26289,99.58
26310,99.64
26328,83.25
26346,83.10
26368,103.63
26400,148.28
26418,82.48
26445,125.96
26479,159.46
26497,81.94
26518,99.54
26536,83.52
26573,176.91
26595,104.80
26615,92.55
26635,93.44
26663,134.30
26681,83.61
26700,88.15
26721,98.63
26740,88.24
26761,93.72
26782,99.01
26799,78.29
26816,78.30
26834,84.46
26856,101.03
26876,91.53
26905,133.59
26927,103.20
26956,134.12
26974,83.03
26994,95.11
27044,228.36
27066,104.57
27112,213.54
27132,94.16
27181,249.78
27199,83.86
27216,78.42
27235,90.04
27254,88.81
27284,143.03
27309,122.14
27338,141.73
27358,95.39
27380,102.35
27402,104.73
27421,89.30
27453,139.84
27479,119.68
27496,78.37
27513,78.05
27531,83.99
27553,103.28
27574,98.59
27595,99.90
27621,112.78
27648,118.18
27689,177.19
27713,112.19
27742,137.59
27764,103.81
27781,78.77
27806,120.66
27835,133.62
27852,78.27
27869,78.42
27889,93.20
27921,149.83
27949,119.91
27974,113.87
28001,130.06
28019,82.96
28044,117.01
28072,138.62
28118,216.60
28139,98.39
28176,181.09
28193,78.54
28213,93.91
28230,78.60
28258,134.24
28294,166.72
28313,90.11
28350,177.15
28369,88.78
28407,185.98
28425,84.25
28445,94.88
28462,77.95
28481,88.89
28513,147.52
28531,82.25
28552,100.55
28570,82.80
28599,133.03
28634,168.93
28655,99.39
28674,87.47
28692,83.07
28720,134.98
28766,213.49
28795,138.19
28824,126.08
28863,190.16
28882,89.80
28916,163.07
28935,89.20
28953,83.47
28972,87.74
28990,83.41
29014,115.01
29033,88.38
29066,162.31
29083,78.33
29110,129.69
29126,73.02
29143,78.62
29164,98.31
29183,89.24
29201,83.24
29218,78.26
29236,83.86
29255,87.84
29273,83.61
29294,96.47
29312,83.61
29335,110.52
29365,145.92
29395,146.79
29420,118.57
29439,88.75
29458,88.59
29477,90.13
29497,92.28
29519,105.69
29540,99.11
29563,111.61
29593,142.62
29616,111.98
29638,103.00
29659,98.38
29690,145.18
29710,95.29
29733,106.94
29756,110.72
29778,99.55
29797,89.98
29826,139.40
29847,99.81
29866,87.15
29884,83.00
29904,94.91
29922,82.78
29947,117.72
29975,138.81
29993,82.70
30015,106.04
30035,93.16
30055,93.46
30072,78.40
30090,81.97
30111,98.71
30133,97.97
30151,84.09
30172,101.23
30196,114.62
30218,104.07
30236,83.45
30264,132.54
30293,132.47
30333,174.25
30353,91.98
30384,149.76
30412,135.80
30431,85.66
30453,104.38
30482,141.48
30516,162.53
30533,78.35
30551,83.52
30567,72.17
30585,83.82
30613,133.98
30633,94.32
30664,149.04
30683,88.88
30701,84.00
30729,134.53
30750,95.32
30768,83.28
30800,153.04
30817,78.21
30847,143.57
30881,163.61
30909,129.90
30932,106.87
30951,88.00
30973,101.24
31012,176.52
31030,83.53
31049,88.63
31071,96.57
31089,84.43
31117,133.25
31148,152.71
31165,78.64
31186,97.86
31214,133.66
31246,143.57
31267,100.42
31289,96.34
31320,139.84
31340,93.11
31367,128.77
31385,83.41
31407,104.07
31434,117.65
31460,129.11
31483,108.91
31513,132.24
31531,83.64
31555,111.64
31580,120.92
31606,125.22
31636,149.93
31654,81.80
31671,78.45
31697,123.12
31713,73.32
31730,78.47
31753,110.26
31791,174.84
31808,78.39
31829,101.64
31848,89.80
31876,132.55
31897,99.35
31926,123.95
31943,78.75
31962,87.97
31985,109.81
32018,150.89
32043,110.39
32061,84.28
32080,89.67
32110,133.30
32156,211.30
32174,84.36
32201,129.82
32219,82.71
32240,98.59
32263,108.92
32280,77.83
32325,218.83
32350,118.70
32385,168.55
32409,113.97
32433,114.12
32487,264.41
32506,89.84
32541,170.44
32560,89.97
32578,82.81
32597,88.97
32617,96.12
32636,87.52
32673,170.62
32709,173.55
32727,83.43
32762,156.86
32779,77.94
32804,109.48
32830,126.26
32861,134.32
32882,97.34
32901,88.55
32923,104.55
32943,94.46
32964,97.74
33007,203.30
33028,99.43
33045,78.19
33064,89.10
33095,153.49
33113,83.62
33143,136.74
33170,130.42
33191,98.27
33229,185.74
33263,153.82
33295,147.28
33313,82.27
33332,88.81
33350,82.98
33375,121.59
33403,133.19
33424,97.46
33443,88.29
33464,97.00
33489,120.00
33511,103.52
33530,88.37
33550,93.27
33572,105.25
33590,83.79
33626,162.59
33650,116.48
33671,96.93
33701,144.90
33718,74.21
33737,88.70
33756,89.71
33778,103.10
33797,89.14
33825,130.96
33847,104.14
33888,192.51
33907,89.97
33932,121.32
33957,114.42
33979,104.98
34000,102.92
34028,131.37
34049,98.23
34071,104.09
34088,77.85
34108,94.45
34126,83.36
34147,98.78
34167,93.04
34185,82.94
34207,102.86
34234,129.96
34280,240.85
34299,89.76
34317,81.71
34339,102.96
34357,83.03
34391,160.53
34411,95.55
34431,94.35
34455,117.32
34502,212.68
34533,143.42
34563,147.09
34594,138.97
34632,181.78
34657,117.48
34685,136.38
34714,130.02
34744,143.70
34765,98.98
34794,140.59
34812,84.01
34836,114.55
34859,105.43
34884,113.71
34914,138.56
34938,113.26
34965,123.70
34998,151.28
35022,108.58
35045,108.16
35073,135.63
35107,159.83
35125,83.29
35144,90.14
35162,83.39
35179,78.25
35199,94.33
35227,132.40
35262,169.97
35293,152.68
35318,112.94
35346,123.48
35376,138.79
35395,87.56
35425,141.35
35444,88.38
35464,92.61
35497,154.54
35530,160.95
35549,88.86
35583,161.97
35602,88.20
35620,83.01
35642,104.21
35660,83.20
35678,83.31
35696,83.56
35719,107.58
35751,149.68
35770,88.49
35788,83.23
35808,95.69
35827,88.73
35852,119.83
35876,111.36
35896,89.61
35919,105.13
35940,98.80
35957,78.53
35977,93.57
35995,82.84
36026,134.88
36050,115.37
36071,100.80
36102,152.88
36133,146.06
36152,89.92
36175,108.16
36198,108.66
36222,109.96
36245,106.84
36277,137.27
36298,99.65
36317,89.60
36335,83.62
36352,78.66
36380,131.19
36418,175.37
36452,154.90
36480,135.60
36513,163.86
36543,140.64
36560,77.94
36579,88.75
36597,84.13
36622,117.89
36640,83.57
36658,82.80
36676,83.31
36704,133.63
36735,143.82
36762,132.64
36792,143.03
36815,105.42
36860,222.62
36879,88.99
36903,115.52
36921,83.08
36939,83.28
36969,133.23
36991,103.55
37009,83.54
37031,105.39
37049,81.90
37066,78.25
37085,88.33
37102,78.61
37121,89.81
37150,136.77
37168,82.96
37191,108.46
37212,92.65
37233,98.68
37251,83.27
37277,121.83
37304,118.62
37327,110.45
37346,87.57
37378,144.00
37396,84.08
37419,109.62
37440,99.64
37457,78.62
37492,165.78
37509,78.57
37542,160.31
37579,180.34
37601,104.83
37642,196.69
37669,128.10
37708,191.05
37753,220.37
37773,94.88
37796,110.90
37819,109.82
37842,106.49
37860,84.55
37880,92.24
37902,105.18
37927,122.26
37947,95.02
37976,138.31
37996,94.73
38019,109.33
38051,156.37
38076,118.36
38106,142.57
38124,83.37
38156,139.23
38185,142.92
38203,83.87
38249,226.93
38267,83.46
38317,232.61
38336,88.68
38355,86.06
38375,94.45
38405,136.09
38424,88.78
38442,83.39
38469,128.37
38488,89.22
38506,84.16
38523,78.35
38546,110.67
38563,78.77
38580,78.39
38599,89.19
38617,82.85
38635,83.66
38654,89.43
38672,83.31
38692,94.44
38711,88.41
38729,83.33
38747,83.08
38767,92.80
38799,148.26
38829,145.77
38855,112.53
38874,88.81
38909,148.62
38929,93.29
38953,113.02
38982,138.21
38999,78.10
39018,89.30
39039,99.74
39057,81.69
39078,98.82
39104,114.29
39144,191.16
39163,87.42
39186,106.51
39223,161.82
39249,125.60
39281,142.35
39302,100.80
39325,107.27
39350,117.82
39387,174.31
39406,89.66
39431,120.92
39454,110.21
39475,101.63
39492,78.48
39511,90.43
39535,114.27
39553,82.54
39581,135.68
39606,118.85
39626,93.58
39647,100.14
39667,93.65
39685,83.55
39716,140.13
39741,112.56
39762,97.89
39782,89.25
39799,78.15
39826,125.91
39845,89.68
39864,88.39
39895,154.52
39920,121.73
39941,100.53
39965,116.94
39985,93.47
40003,83.08
40022,88.48
40046,113.10
40068,106.66
40094,122.31
40119,117.73
40142,109.59
40170,124.82
40188,83.69
40219,149.02
40253,163.15
40270,78.06
40287,78.26
40331,183.22
40349,83.32
40391,203.26
40417,124.35
40434,76.29
40456,104.51
40475,88.67
40497,101.94
40514,78.28
40533,89.05
40563,138.75
40582,89.29
40599,77.50
40621,105.68
40643,108.44
40663,93.46
40685,105.62
40704,90.28
40723,88.94
40745,105.35
40772,126.94
40789,78.03
40809,95.06
40833,113.80
40850,78.64
40869,88.44
40887,85.02
40910,109.19
40958,236.08
40996,171.03
41016,95.43
41036,94.96
41061,112.59
41090,137.45
41110,92.74
41143,159.18
41163,95.46
41185,102.21
41215,134.12
41237,103.60
41257,92.49
41275,83.53
41304,141.72
41330,121.34
41353,100.04
41375,103.56
41403,134.27
41431,131.26
41456,112.31
41476,94.10
41497,98.10
41515,83.89
41536,98.88
41561,123.52
41579,84.58
41598,89.49
41619,100.53
41652,159.49
41683,147.79
41716,143.01
41736,91.57
41753,78.72
41784,149.12
41801,77.32
41818,77.80
41851,152.49
41870,89.80
41888,84.52
41906,83.15
41924,82.56
41975,248.15
42017,191.22
42034,76.39
42052,83.60
42078,115.46
42099,99.40
42116,78.61
42143,123.95
42166,107.36
42183,78.75
42215,148.36
42239,113.28
42270,149.47
42300,144.52
42329,132.73
42349,91.93
42381,148.38
42400,88.24
42426,122.46
42443,77.20
42462,88.42
42480,83.44
42497,78.21
42529,153.81
42548,86.91
42568,93.76
42588,93.56
42610,104.61
42627,77.50
42657,136.15
42687,141.65
42705,83.30
42727,104.32
42744,78.25
42784,175.54
42806,103.92
42848,192.00
42871,109.71
42890,87.37
42927,176.31
42944,78.26
42964,92.94
42986,102.66
43017,148.91
43045,138.77
43065,95.10
43096,147.39
43119,108.27
43145,124.52
43173,131.99
43199,126.00
43219,94.14
43244,123.61
43261,78.14
43279,83.92
43304,114.77
43321,78.29
43339,82.55
43361,105.42
43389,133.77
43410,99.92
43431,100.04
43449,83.53
43467,83.37
43492,119.19
43515,104.08
43532,77.50
43566,162.82
43600,160.74
43626,125.57
43650,110.09
43684,165.95
43701,78.62
43725,113.50
43751,124.75
43772,92.90
43789,78.44
43817,132.15
43837,88.54
43865,133.42
43883,84.28
43901,83.03
43920,89.63
43940,92.85
43959,87.57
43987,130.84
44008,99.16
44031,111.54
44050,88.43
44080,147.83
44113,154.13
44131,81.53
44149,83.16
44167,83.59
44197,138.99
44219,99.40
44251,144.75
44279,128.14
44303,103.94
44322,88.36
44348,119.33
44367,89.29
44385,83.69
44402,78.61
44425,105.33
44442,78.42
44465,110.52
44484,90.06
44504,92.56
44524,92.46
44549,121.58
44583,149.00
44603,92.33
44623,92.68
44645,103.64
44672,128.68
44700,136.77
44722,107.72
44740,83.42
44761,96.37
44782,98.63
44802,94.29
44828,128.59
44856,128.28
44878,104.80
44896,83.08
44921,112.87
44953,147.72
44987,151.39
45020,155.21
45040,95.74
45062,105.23
45084,105.71
45104,94.06
45141,164.75
45160,89.76
45191,137.58
45209,82.07
45228,88.32
45253,120.50
45277,111.66
45300,109.84
45340,192.69
45363,108.01
45382,89.68
45405,109.09
45426,98.44
45444,81.66
45479,166.77
45516,179.12
45534,83.26
45556,99.39
45574,84.33
45591,77.89
45619,133.03
45641,98.83
45671,142.69
45710,178.98
45739,141.02
45768,139.07
45800,154.24
45820,93.30
45845,120.59
45862,78.18
45880,82.61
45908,124.98
45932,114.50
45956,113.18
45988,142.08
46006,82.21
46025,89.84
46049,115.05
46066,78.21
46084,83.49
46102,83.15
46121,85.99
46139,82.19
46171,150.40
46200,134.07
46234,164.84
46251,78.45
46279,131.87
46318,180.90
46343,109.95
46390,215.67
46411,96.93
46431,91.73
46456,117.56
46486,143.51
46508,105.37
46535,131.49
46553,82.02
46584,145.55
46608,118.26
46631,104.57
46657,125.14
46674,78.09
46694,94.69
46716,99.84
46744,134.64
46768,114.27
46807,174.04
46826,87.98
46843,78.48
46870,128.22
46891,100.24
46919,129.73
46956,176.49
46979,109.68
46998,86.98
47027,132.81
47058,142.58
47078,93.88
47111,159.58
47133,102.15
47151,82.41
47191,194.28
47218,130.56
47239,97.69
47258,88.18
47286,127.56
47304,83.26
47330,123.86
47368,187.79
47396,132.96
47421,120.79
47448,128.11
47465,78.16
47495,134.73
47516,99.31
47535,88.21
47555,95.12
47583,124.08
47609,123.08
47626,76.08
47647,97.77
47664,78.25
47695,145.74
47716,98.43
47746,132.98
47767,99.81
47786,86.79
47831,220.31
47862,143.71
47894,155.87
47924,145.77
47951,127.49
47968,78.63
48009,194.50
48035,121.69
48059,115.61
48081,107.50
48098,77.89
48120,105.29
48160,187.76
48200,194.23
48226,115.94
48243,78.66
48265,106.49
48288,109.02
48311,109.29
48329,82.38
48362,154.60
48389,128.33
