Step,Reward
2697478,8961.88
2696478,9004.33
2695478,8967.53
2694478,8985.24
2693478,8988.51
2692478,8968.27
2691478,9037.51
2690478,929.81
2690348,308.56
2690293,8983.96
2689293,9040.08
2688293,7157.75
2687489,910.88
2687359,7482.74
2686524,8919.86
2685524,8997.06
2684524,8954.78
2683524,369.46
2683457,8962.58
2682457,3632.75
2682033,9064.58
2681033,8863.24
2680033,9049.87
2679033,8981.95
2678033,8978.50
2677033,6624.15
2676282,2072.62
2676021,7831.75
2675140,5232.25
2674528,8953.24
2673528,8981.29
2672528,8913.52
2671528,8906.27
2670528,8396.02
2669580,8935.24
2668580,878.70
2668435,8851.70
2667435,5834.82
2666769,8873.15
2665769,8957.08
2664769,1348.80
2664578,8722.73
2663578,8626.64
2662578,991.77
2662437,625.67
2662333,8944.18
2661333,376.66
2661262,8820.59
2660262,8821.79
2659262,8709.00
2658262,8927.37
2657262,8801.98
2656262,8765.08
2655262,3540.44
2654835,8728.32
2653835,8567.58
2652835,8616.18
2651835,8708.49
2650835,8660.73
2649835,8654.97
2648835,8423.45
2647835,8631.92
2646835,8609.42
2645835,8660.07
2644835,8682.55
2643835,8671.59
2642835,8590.85
2641835,8541.96
2640835,8484.80
2639835,600.52
2639737,8652.31
2638737,8671.66
2637737,8707.83
2636737,8750.38
2635737,8851.62
2634737,8777.34
2633737,8839.98
2632737,8878.01
2631737,471.19
2631659,8858.35
2630659,8823.48
2629659,1554.38
2629457,8949.03
2628457,282.02
2628406,1386.85
2628224,9051.33
2627224,725.20
2627118,1027.26
2626978,9100.85
2625978,9161.68
2624978,543.70
2624891,745.02
2624780,1345.69
2624605,6527.19
2623880,9127.04
2622880,2214.67
2622608,430.15
2622537,1013.53
2622397,1212.45
2622236,6119.08
2621555,3173.05
2621183,949.18
2621047,1960.42
2620808,322.55
2620744,990.03
2620600,9144.98
2619600,9160.50
2618600,448.66
2618527,621.42
2618431,501.32
2618351,369.26
2618288,674.54
2618189,445.98
2618115,776.19
2618001,552.56
2617914,5439.28
2617312,7056.79
2616505,9074.03
2615505,1126.11
2615354,416.62
2615279,9068.57
2614279,990.73
2614141,9077.68
2613141,9136.17
2612141,9046.50
2611141,1656.05
2610931,9062.36
2609931,8998.58
2608931,265.78
2608883,9092.84
2607883,9069.00
2606883,8972.94
2605883,8929.11
2604883,9015.65
2603883,9004.31
2602883,6270.78
2602178,9020.50
2601178,9030.75
2600178,8963.47
2599178,8989.03
2598178,8995.18
2597178,8833.90
2596178,8927.56
2595178,8921.23
2594178,8848.98
2593178,8749.51
2592178,8930.51
2591178,7519.85
2590331,8839.31
2589331,8819.99
2588331,1296.43
2588158,8683.17
2587158,5129.77
2586553,8630.50
2585553,8720.17
2584553,8722.93
2583553,8500.92
2582553,8638.20
2581553,8484.84
2580553,8392.99
2579553,6743.55
2578748,8344.27
2577748,8541.79
2576748,8418.09
2575748,8578.06
2574748,8390.12
2573748,8792.00
2572748,8865.87
2571748,8469.26
2570760,8682.28
2569760,8422.60
2568760,3485.26
2568345,8836.58
2567345,979.41
2567211,1636.57
2567007,1094.30
2566859,2553.40
2566547,8947.67
2565547,8760.08
2564547,8544.57
2563571,711.94
2563460,2882.92
2563114,8930.23
2562114,3635.41
2561692,3464.66
2561283,1859.52
2561047,8862.60
2560047,5632.95
2559399,6141.11
2558701,8854.59
2557701,4579.73
2557164,8341.82
2556236,509.64
2556143,6678.20
2555391,8802.18
2554391,4032.92
2553922,5229.32
2553314,8930.76
2552314,1879.60
2552078,8847.63
2551078,8864.45
2550078,8859.42
2549078,8926.28
2548078,8909.07
2547078,379.03
2547011,8916.12
2546011,7657.32
2545142,951.57
2544994,8892.19
2543994,8949.82
2542994,8774.12
2541994,8739.20
2540994,673.30
2540883,4246.74
2540385,8892.38
2539385,546.77
2539293,5204.91
2538691,8756.56
2537691,8843.93
2536691,8795.35
2535691,2776.37
2535357,8975.13
2534357,8838.90
2533357,2068.59
2533094,8933.91
2532094,1102.08
2531941,8827.40
2530941,8940.32
2529941,3477.88
2529527,8936.39
2528527,9097.27
2527527,2279.34
2527239,9032.55
2526239,7116.14
2525448,8951.84
2524448,7098.61
2523640,3789.45
2523200,9066.76
2522200,1295.11
2522023,6813.71
2521243,9035.44
2520243,8908.54
2519243,1235.61
2519070,9011.37
2518070,1116.21
2517915,8867.97
2516915,8946.84
2515915,8216.87
2514988,2813.28
2514645,6975.39
2513843,8879.01
2512843,8989.51
2511843,8885.57
2510843,8908.06
2509843,8790.53
2508843,8843.41
2507843,8926.43
2506843,8961.27
2505843,8951.00
2504843,8809.09
2503843,8846.60
2502843,8713.24
2501843,658.09
2501734,8622.19
2500734,8793.42
2499734,8646.97
2498734,8826.89
2497734,8709.77
2496734,8781.83
2495734,8639.49
2494734,8818.82
2493734,7631.00
2492876,1772.57
2492617,8734.04
2491617,4003.83
2491148,1016.47
2491005,1272.47
2490836,8889.88
2489836,8903.11
2488836,8730.50
2487836,1343.53
2487658,760.76
2487544,8899.81
2486544,1503.94
2486354,382.01
2486289,8966.15
2485289,7489.63
2484439,8893.65
2483439,3102.26
2483054,235.31
2483009,437.15
2482934,1508.90
2482733,1449.90
2482537,418.92
2482466,8493.92
2481500,9021.43
2480500,1505.68
2480304,8900.44
2479304,5956.89
2478612,8831.84
2477612,8577.55
2476612,554.58
2476508,3158.85
2476115,2475.35
2475797,356.49
2475729,8677.08
2474729,322.91
2474661,8590.56
2473661,7965.18
2472739,301.55
2472674,8700.38
2471674,399.48
2471598,8568.20
2470598,8356.38
2469598,8627.75
2468598,8530.02
2467598,8702.68
2466598,8771.94
2465598,358.86
2465527,127.71
2465501,8729.08
2464501,8750.55
2463501,8937.87
2462501,5696.99
2461843,8853.89
2460843,4255.57
2460342,2963.85
2459989,8873.13
2458989,6312.89
2458262,2052.35
2458006,4643.50
2457474,2365.07
2457188,9181.45
2456188,642.82
2456080,8707.04
2455113,9129.50
2454113,4558.73
2453584,1690.83
2453371,1240.57
2453199,7392.95
2452375,3332.94
2451988,9143.27
2450988,1763.93
