Step,Reward
18,88.38
54,143.28
72,83.98
91,89.04
110,89.90
137,133.52
156,89.08
175,87.57
197,103.57
218,99.69
245,119.60
270,119.42
287,78.46
305,83.08
322,78.26
340,83.39
366,121.91
384,82.09
406,105.24
425,87.60
450,119.10
468,84.30
491,103.91
528,177.80
565,174.26
596,143.17
620,110.83
648,129.71
669,97.10
688,87.39
707,89.35
737,146.41
772,162.92
789,77.31
807,83.56
832,121.52
851,88.43
869,83.43
891,101.37
908,77.33
927,89.08
949,101.84
970,99.47
999,125.54
1041,203.78
1068,118.96
1093,118.04
1114,98.83
1134,95.08
1152,83.20
1177,118.51
1198,99.21
1228,137.72
1256,133.02
1279,109.44
1297,83.98
1320,104.62
1344,108.11
1372,134.95
1390,83.41
1407,78.24
1440,143.61
1462,104.22
1494,149.65
1524,133.76
1580,276.59
1599,90.13
1615,72.16
1635,92.57
1652,78.32
1700,242.89
1728,134.79
1751,108.60
1768,78.54
1792,111.16
1817,122.26
1835,83.81
1853,82.96
1876,104.94
1895,89.05
1915,96.42
1938,111.73
1958,91.42
1989,144.55
2014,109.87
2034,92.89
2057,109.35
2087,140.12
2109,105.86
2127,83.63
2146,87.99
2172,126.89
2193,100.01
2224,148.74
2254,138.22
2277,108.68
2295,83.38
2315,91.18
2339,114.34
2358,88.22
2395,173.28
2429,155.03
2449,93.10
2467,82.77
2484,78.27
2512,130.88
2530,83.21
2562,142.23
2591,137.91
2627,170.77
2648,98.83
2679,146.14
2704,114.29
2731,121.88
2756,115.38
2773,78.40
2792,89.48
2812,94.96
2831,88.07
2848,77.21
2869,97.79
2893,112.23
2914,98.01
2951,178.65
2978,122.19
3005,131.43
3027,105.80
3060,153.09
3086,125.52
3104,83.51
3133,122.94
3154,97.76
3172,83.59
3190,83.08
3222,144.26
3243,98.71
3261,82.86
3284,106.58
3302,83.07
3319,78.33
3338,88.56
3367,134.77
3384,78.56
3403,89.26
3436,154.59
3460,117.64
3489,138.42
3525,161.89
3545,92.71
3564,88.47
3585,97.13
3608,105.60
3631,108.82
3662,141.60
3696,151.98
3715,89.48
3737,102.13
3760,109.84
3779,85.06
3797,83.41
3823,126.57
3841,83.42
3860,88.97
3895,168.01
3912,78.15
3935,107.75
3966,136.99
3990,112.29
4011,98.79
4046,157.95
4070,113.07
4095,121.98
4114,88.00
4141,123.73
4173,150.29
4193,93.47
4223,148.75
4241,83.59
4270,138.37
4299,132.50
4317,83.09
4344,117.44
4379,173.40
4398,88.15
4416,80.62
4435,88.09
4465,132.00
4513,225.65
4531,83.85
4559,134.38
4595,165.92
4617,105.67
4634,78.65
4666,146.93
4698,154.27
4715,78.61
4747,154.48
4765,85.37
4792,129.47
4817,118.51
4848,148.35
4882,162.16
4920,176.02
4953,153.25
4978,111.28
4996,82.58
5021,119.53
5039,82.98
5060,98.86
5082,101.95
5136,256.36
5188,262.69
5206,83.45
5232,119.53
5255,108.37
5280,118.59
5305,122.30
5347,204.81
5363,73.56
5380,78.38
5399,88.71
5430,145.25
5449,89.15
5467,83.55
5487,93.23
